Verbatim;Categorie;Libelle;Compar
J'ai un petit coté masculine, j'aime bien déconner, je peux être moi-même. Pas de chichi ;Ouverture;Ce que j'apprécie;1
J'ai vu une équipe formidable. ;Collectif;Ce que j'apprécie;1
j'aime bien;Autres;Ce que j'apprécie;1
J'aime bien conduire. Pas trop chiant comme taf. Plus sympa que la menuiserie. ;Travail;Ce que j'apprécie;1
J'aime bien le contact avec les gens. ;Relation client;Ce que j'apprécie;1
J'aime ce que je fais;Travail;Ce que j'apprécie;1
J'aime ce que je fais. ;Travail;Ce que j'apprécie;1
j'aime ce travail, c'est facile à comprendre les commandes;Travail;Ce que j'apprécie;1
"J'aime conduire, faire les tournées pour me changer les idées avec les différents paysages et endroits architecturaux;Clients très sympathiques;Accessibilité d'informations grâce à Célia";Travail;Ce que j'apprécie;1
j'aime être chauffeur;Travail;Ce que j'apprécie;1
J'aime la période de plein air (cœur de boulot). Métier dynamique, on s'ennuie jamais ;Travail;Ce que j'apprécie;1
J'aime l'ambiance;Collectif;Ce que j'apprécie;1
j'aime le graphique;Travail;Ce que j'apprécie;1
J'aime le sens du domaine et l'entreprise pour laquelle je bosse ;Vision;Ce que j'apprécie;1
J'aime le terrain, dans le magasin;Travail;Ce que j'apprécie;1
J'aime le TP, Je suis autonome, on me file le boulot;Autonomie;Ce que j'apprécie;1
j'aime les horaires;Environnement;Ce que j'apprécie;1
J'aime les produits;Vision;Ce que j'apprécie;1
J'aime l'heure de travaille le debut entre 5h30 et 7h30;Environnement;Ce que j'apprécie;1
j'aime l'in situ;Environnement;Ce que j'apprécie;1
j'aime mon travail dans l'ensemble;Travail;Ce que j'apprécie;1
j'aime partager;Collectif;Ce que j'apprécie;1
j'aime partager avec l'ensemble des équipes, trieurs et chauffeurs;Collectif;Ce que j'apprécie;1
J'aime qu'on respecte ma fatigabilité et mon handicap.;Collectif;Ce que j'apprécie;1
J'aime tout le monde;Collectif;Ce que j'apprécie;1
J'aime travailler avec Cedre;Vision;Ce que j'apprécie;1
J'aime travailler avec mes collègues;Collectif;Ce que j'apprécie;2
J'aime travailler avec mon équipe, ils sont cool;Collectif;Ce que j'apprécie;2
j'aime travailler dans l'ensemble des équipes et aider les trieurs;Collectif;Ce que j'apprécie;1
j'aime travailler dans l'équipe;Collectif;Ce que j'apprécie;1
J'aime travailler sur les projets qui me sont confiés, les sujets m'intéressent;Travail;Ce que j'apprécie;1
J'aime un peu tout -> valeur d'écoute;Collectif;Ce que j'apprécie;1
J'aimerais bien etre directeur d'un service (alors que je suis chef de service). Donner de la perspective à Frédéric et Ambre. ;Evolution;Ce que j'apprécie;1
"J'aimerais pouvoir approfondir davantage mes compétences techniques et je ne vois pas comment;";Accompagnement;Ce qui me met en difficulté;1
j'aimerais qu'on valorise plus à mes yeux pourquoi Baluchon est en forte croissance avec des valeurs. ;Vision;Ce qui me met en difficulté;1
Jamais trop senti de contraintes financières. On était libres de faire comme il était mieux de faire;Moyens;Ce que j'apprécie;1
J'apprécie la confiance accordée par l'équipe de direction;Autonomie;Ce que j'apprécie;1
j'apprécie le travail;Travail;Ce que j'apprécie;1
J'apprécie les conditions de travail;Environnement;Ce que j'apprécie;1
J'apprécie prise en compte de ma personne.;Reconnaissance;Ce que j'apprécie;1
J'apprécie que les horaires soient adaptés à mes besoins et qu'ils me conviennent. La pause est merveilleuse;Environnement;Ce que j'apprécie;1
J'apprends tous les jours, notamment sur la technique, c'est intéressant;Evolution;Ce que j'apprécie;1
J'assume personnellement les critiques.;Ouverture;Ce qui me met en difficulté;2
JC peut avoir l'impression que je ne lui fait pas confiance. ;Collectif;Ce qui me met en difficulté;1
JC prend beaucoup de décisions tout seul;Organisation;Ce qui me met en difficulté;1
Je commence tot;Environnement;Ce que j'apprécie;1
Je crois au projet ;Vision;Ce que j'apprécie;1
Je fais pour les autres, comme si c'était pour moi;Collectif;Ce que j'apprécie;1
Je me sens bien accueilli au sein de l'équipe;Collectif;Ce que j'apprécie;1
Je me sens écoutée guider cadrer;Accompagnement;Ce que j'apprécie;1
Je me sens pas assez impliqué dans les processus;Organisation;Ce qui me met en difficulté;1
Je me sens un peu démunie (mon adjoint aussi)   les gens se font moins plaisir, on n'est pas la priorité (nourriture, habits, puis la foir fouille) quête de sens, inquiétude;Travail;Ce qui me met en difficulté;1
Je m'entends bien avec mes collègues.;Collectif;Ce que j'apprécie;1
je m'inquiète des vacances qui me permettent de partir ou pas;Environnement;Ce qui me met en difficulté;1
Je m'y sens bien et j'ai toujours de la motivation;Travail;Ce que j'apprécie;1
Je n'ai aucune difficulté. Tout me convient au travail.;Autres;Ce qui me met en difficulté;1
Je n'ai jamais autant morflé, mais j'adore l'enseigne, mon patron, les gens avec lesquels je travail. J'ai l'impression d'être un médecin, de sauver des gens. ;Travail;Ce que j'apprécie;1
Je n'ai pas de bonnes capacités de communication;Autres;Ce qui me met en difficulté;1
Je n'ai pas l'appui de la hiérarchie. Pas accompagné par la hiérachie. ;Accompagnement;Ce qui me met en difficulté;1
je n'ai rien trouvé de négatif (je ne suis là que depuis 3 mois).;Autres;Ce qui me met en difficulté;1
Je n'aime pas les DIB.  Le chef a mal organisé les plannings c'est vraiment perte d'argent en essence et je perds mon énergie. Je ne suis pas satisfait du portable qui est souvent bloqué donc je perds mon temps.;Organisation;Ce qui me met en difficulté;1
Je n'aime pas quand ils changent les heures de travail à 9h;Organisation;Ce qui me met en difficulté;1
Je ne m'ennui pas, je ne m'ennuie jamais.;Travail;Ce que j'apprécie;1
Je ne parle pas très bien anglais;Evolution;Ce qui me met en difficulté;1
Je ne rencontre aucune difficultés, tout se règle immédiatement.;Autres;Ce qui me met en difficulté;1
Je ne sais pas;Autres;Ce que j'apprécie;1
Je ne sais pas qui doit faire quoi;Organisation;Ce qui me met en difficulté;1
Je ne suis pas aligné tjrs avec la volonté de grossir des dirigeants : plus de process, moins de liberté;Vision;Ce qui me met en difficulté;1
Je ne trouve plus plaisir à faire ce que je fais, surtout au niveau du social : je n'arrive plus à comprendre la clientèle et mes équipes ;Travail;Ce qui me met en difficulté;1
Je pars de rien, je passe pour un farfelu et d'un seul coup je suis le gars qui a vu la lumière au fonds de la grotte;Reconnaissance;Ce que j'apprécie;1
Je participe à une aventure ;Vision;Ce que j'apprécie;1
je passe du temps sur ces documents;Organisation;Ce qui me met en difficulté;1
"Je prends le train en route après mon congé maternité. On me demande de faire des trucs sans aucune information. ""Il faut faire ça"". J'ai peur de mal les faire. ";Organisation;Ce qui me met en difficulté;1
Je prends les réflexions pour moi;Ouverture;Ce qui me met en difficulté;1
Je progresse, en me fixant mes propres objectifs, dans des sujets qui m'interesse;Evolution;Ce que j'apprécie;1
Je reste : passionné par ce que je fais, j'ai de l'autonomie;Travail;Ce que j'apprécie;1
Je sais où je vais : sens (objectifs définis et raisons des objectifs sont clairs);Priorités;Ce que j'apprécie;1
Je sais que je veux travailler dans l'environnement. Je me suis retrouvée dans la gestion des déchets. Je voulais travailler dans ça;Vision;Ce que j'apprécie;1
Je souffre du manque d'équipe;Collectif;Ce qui me met en difficulté;1
Je suis à l'aise avec ma personnalité affirmée, aimant plaisanter et être authentique sans façons.;Ouverture;Ce que j'apprécie;2
Je suis affecté(e) par le fait que certains propos peuvent être mal interprétés : on ne me communique pas les choses directement, mais toujours a posteriori.;Ouverture;Ce qui me met en difficulté;2
je suis bien intégré;Collectif;Ce que j'apprécie;1
Je suis chargée par l'administratif. Beaucoup. On ne sait pas quand on est chargé ou déchargé Besoin de se sentir davantage valorisé;Organisation;Ce qui me met en difficulté;1
je suis complètement indépendant, Agréable de voir du pays, au volant, pas de supérieur qui nous appelle;Autonomie;Ce que j'apprécie;1
je suis dans la maintenance et il manque beaucoup de matériel;Moyens;Ce qui me met en difficulté;1
Je suis en complète liberté de tous les choix sur la partie agence. Signature.;Autonomie;Ce que j'apprécie;1
je suis intransigeant vis-à-vis du travail et de la conscience pro => j'observe de l'oisiveté ->une déception;Collectif;Ce qui me met en difficulté;1
je suis le content le matin d'aller bosser. Pas d'effort à faire : Je me sens utile. L'impression d'apporter ma pierre à l'édifice ;Travail;Ce que j'apprécie;1
Je suis obligé d'aider les sous traitant voir même de leur faire à leurs place ce qui me fais perdre du temps (service support);Organisation;Ce qui me met en difficulté;1
Je suis saturé. Trop plein. Toutes les équipes se sont étoffée;Pression;Ce qui me met en difficulté;1
Je suis seul à faire ce que je fais;Organisation;Ce qui me met en difficulté;1
Je suis toujours très content de venir au travail. Tout est possible. ;Travail;Ce que j'apprécie;1
Je suis très attaché, très pris. Très engagé. Je me sens bien. Je me sens à ma place;Travail;Ce que j'apprécie;1
Je suis usé : mon travail de commerçant m'a usé ;Travail;Ce qui me met en difficulté;1
Je suis vraiment dans une équipe;Collectif;Ce que j'apprécie;1
Je trouve que mes chefs sont de très bons chefs.;Accompagnement;Ce que j'apprécie;1
Je vais à Paris régulièrement, je sens le terrain, je suis très ouvert à l'extérieur ;Travail;Ce que j'apprécie;1
Je veux augmenter mon salaire car l'essence à augmenter;Rémunération;Ce qui me met en difficulté;1
je veux des wc propres avec du papier toilettes.j'ai besoin de 2 personnes pour le VL car il commence à être lourd maintenant et j'ai mal à l'épaule cause car porter lourds;Environnement;Ce qui me met en difficulté;1
Je veux l'entreprise soit propre;Environnement;Ce que j'apprécie;1
Je veux un local pour les outils quand je travaille;Moyens;Ce que j'apprécie;1
"Je vis une transition pour aller bosser dans la ""vraie"" restauration. ";Travail;Ce que j'apprécie;1
J'étais très surpris de me sentir un élément du puzzle;Vision;Ce que j'apprécie;1
Job & mission;Travail;Ce que j'apprécie;1
Jongler entre la réflexion stratégique et le coté plus opérationnel. ;Priorités;Ce qui me met en difficulté;1
Jongler entre les différentes responsabilités que j'ai prises au fil du temps;Organisation;Ce qui me met en difficulté;1
Jongler entre les tâches sur des projets très volumineux;Priorités;Ce qui me met en difficulté;1
Jongler entre mon métier de manager qui me prend de plus en plus de temps et celui de lead technique que je dois encore assumer le temps que mon équipe soit autonome;Pression;Ce qui me met en difficulté;1
J'organise ma journée comme je veux;Autonomie;Ce que j'apprécie;1
Kiff extrême : projets de ouf. Trop bien. On va n'importe où, on peut y aller. Pas avoir l'air ridicule. On pèse dans le game. Fierté du travail accompli. Revanche. Compète. ;Travail;Ce que j'apprécie;1
L absence de jugement;Collectif;Ce que j'apprécie;1
L ambiance de mes collègues Solidarité des trieurs;Collectif;Ce que j'apprécie;1
l écoute de la hierarchie;Collectif;Ce que j'apprécie;1
l’absence de prime;Rémunération;Ce qui me met en difficulté;1
L’accessibilité du C level et des managers pour comprendre les decisions, les besoins et l'impact de ce qu'on fait;Accompagnement;Ce que j'apprécie;1
L’autonomie;Autonomie;Ce que j'apprécie;1
L’autonomie,La confiance que l’on m’accorde,L’AMBIANCE;Autonomie;Ce que j'apprécie;1
l’entre-aides entre collègues de travail;Collectif;Ce que j'apprécie;1
l’environnement de travail;Environnement;Ce que j'apprécie;1
L’intrusion sur mes zones de responsabilité;Organisation;Ce qui me met en difficulté;1
la (relative) facilité de contact avec les managers et dirigeants, en cas de besoin;Accompagnement;Ce que j'apprécie;1
La balance des objectifs court et long terme difficile à équilibrer;Priorités;Ce qui me met en difficulté;1
La bienveillance;Collectif;Ce que j'apprécie;1
La bienveillance chez Wanadev;Collectif;Ce que j'apprécie;1
La bienveillance de la direction;Collectif;Ce que j'apprécie;1
La bienveillance de l'équipe;Collectif;Ce que j'apprécie;1
La bienveillance de l'équipe dirigeante et son efficacité dans le traitement des challengesLa concordance entre les valeurs annoncées et celles mises en pratiqueL'impression d'œuvrer pour un projet d'utilité générale;Vision;Ce que j'apprécie;1
la bienveillance des collègues;Collectif;Ce que j'apprécie;1
La bienveillance et le soutien de mon service;Collectif;Ce que j'apprécie;1
La bienveillance et l'entraide des collaborateurs;Collectif;Ce que j'apprécie;1
La bienveillance generale;Collectif;Ce que j'apprécie;1
La bienveillance généralisée;Collectif;Ce que j'apprécie;1
la bienveillance, l'écoute. ;Collectif;Ce que j'apprécie;1
La bienveillance. L'esprit d'équipe. On touche à tout tout le temps.;Collectif;Ce que j'apprécie;1
La bonne ambiance;Collectif;Ce que j'apprécie;1
La bonne ambiance au sein de l'entreprise.;Collectif;Ce que j'apprécie;1
La bonne ambiance au sein de notre équipe;Collectif;Ce que j'apprécie;1
La bonne ambiance entre collègue;Collectif;Ce que j'apprécie;1
La bonne ambiance globale;Collectif;Ce que j'apprécie;1
La bonne ambiance, la bonne entente avec les collègues.;Collectif;Ce que j'apprécie;1
La bonne ambiance, On s'entend tous bien, On est comme une famille ;Collectif;Ce que j'apprécie;1
La bonne ambiance/entente avec les collègues;Collectif;Ce que j'apprécie;1
"La bonne ambiance; le côté très concret; les enjeux du projet";Vision;Ce que j'apprécie;1
La bonne entente avec mes collègues;Collectif;Ce que j'apprécie;1
La bonne entente générale qui règne entre tout le monde;Collectif;Ce que j'apprécie;1
la bonne humeur;Collectif;Ce que j'apprécie;1
La capacité de trouver une solution à un problème;Travail;Ce que j'apprécie;1
La cause n'est pas partagée;Collectif;Ce qui me met en difficulté;1
la charge;Travail;Ce qui me met en difficulté;1
la charge de travail;Pression;Ce qui me met en difficulté;1
La charge de travail equilibré;Environnement;Ce que j'apprécie;1
la charge de travail fluctuante;Pression;Ce qui me met en difficulté;1
La cohésion au sein de mon équipe n'est pas bonne. Les efforts fourni ne sont pas les mêmes;Collectif;Ce qui me met en difficulté;1
la cohésion d'équipe;Collectif;Ce que j'apprécie;1
la cohésion entre les collègues;Collectif;Ce que j'apprécie;1
La cohésion entre nous;Collectif;Ce que j'apprécie;1
la cohésion et dynamique des équipes;Collectif;Ce que j'apprécie;1
La cohésion sociale;Collectif;Ce que j'apprécie;1
La cohesion, l'ambiance et l'écoute d'MWM;Collectif;Ce que j'apprécie;1
"La collaboration entre les équipes;  l'écoute;  l'ambiance; l'entente.";Collectif;Ce que j'apprécie;1
La collègue, Pascale, l'équipe au top.;Collectif;Ce que j'apprécie;1
La communauté de travail en petire équipe;Travail;Ce que j'apprécie;1
la communication;Communication;Ce qui me met en difficulté;1
La communication (nombreux mails d'informations, réunions d'agence,...);Communication;Ce que j'apprécie;1
La communication absente;Communication;Ce qui me met en difficulté;1
la communication au niveau des clients;Relation client;Ce qui me met en difficulté;1
La communication au sein de l'entreprise;Communication;Ce qui me met en difficulté;1
La communication avec les cadres supérieurs peut parfois être complexe.;Ouverture;Ce qui me met en difficulté;2
La communication avec mon manager;Accompagnement;Ce qui me met en difficulté;1
La communication de manière générale (entre les différentes équipes et inter équipes);Communication;Ce qui me met en difficulté;1
La communication descendant - l'information ne vient pas toujours jusqu'à nous;Communication;Ce qui me met en difficulté;1
la communication diffusée par l'entreprise n'est pas toujours claire.;Communication;Ce qui me met en difficulté;1
La communication entre les équipes;Communication;Ce qui me met en difficulté;1
La communication est ouverte et transversale à tous les niveaux et entre tous les services.;Ouverture;Ce que j'apprécie;2
la communication extra-squad;Communication;Ce qui me met en difficulté;1
La communication inter équipe, je suis moins intégré socialement aux équipes des autres étages;Collectif;Ce qui me met en difficulté;1
La communication inter-équipe, j'ai le sentiment de devoir toujours faire un effort supplémentaire pour que la communication soit fluide et qu'on ne perde rien en chemin;Communication;Ce qui me met en difficulté;1
La communication inter-équipes;Communication;Ce qui me met en difficulté;1
la communication n'est pas parfaite;Communication;Ce qui me met en difficulté;1
La communication non structurée, sans guides ni bonnes pratiques;Communication;Ce qui me met en difficulté;1
La communication ;Communication;Ce qui me met en difficulté;1
La compensation de manques d'autres personnes;Moyens;Ce qui me met en difficulté;1
la comunication avec l'herachrie;Vision;Ce qui me met en difficulté;1
La concrétisation d'un projet ainsi que la résolution de problemse qui amene a la réalisation du projet.;Travail;Ce que j'apprécie;1
La concurrence;Dynamique;Ce qui me met en difficulté;1
la confiance;Autonomie;Ce que j'apprécie;1
la confiance ,le respect ,;Collectif;Ce que j'apprécie;1
La confiance a priori donnée à chacun;Autonomie;Ce que j'apprécie;1
La confiance accordée dans mon organisation du travail;Autonomie;Ce qui me met en difficulté;1
la confiance dans le codir;Collectif;Ce que j'apprécie;1
La confiance dans les uns et les autres;Collectif;Ce que j'apprécie;1
La confiance de ma direction;Autonomie;Ce que j'apprécie;1
La confiance de mon management direct clairement !;Autonomie;Ce que j'apprécie;1
La confiance donnant flexibilité/autonomie sur la façon de faire : le résultat et la rapidité est le plus important;Autonomie;Ce que j'apprécie;1
La confiance donnée;Autonomie;Ce que j'apprécie;1
La confiance dont je bénéficie;Autonomie;Ce que j'apprécie;1
la confiance et la bienveillance donné par mon manager;Collectif;Ce que j'apprécie;1
La confiance et la liberté que j'ai auprès de mes pairs;Autonomie;Ce que j'apprécie;1
La confiance que m'accorde ma Direction;Autonomie;Ce que j'apprécie;1
La confiance que me donne mes pairs, ma liberté;Autonomie;Ce que j'apprécie;1
La confiance qu'ils ont en moi en tant que directrice d'établissement. Ils sont là si j'ai besoin d'eux. ;Autonomie;Ce que j'apprécie;1
La confiance qu'on me donne;Autonomie;Ce que j'apprécie;1
La confiance qu'on m'octroie;Autonomie;Ce que j'apprécie;1
La confiance ressentie (pas de pointage, pas de flicage), Pas de pression sur la présence, Le sentiment d'être écouté ;Autonomie;Ce que j'apprécie;1
La contribution du développement à l'amélioration de la qualité de soin dans le monde.;Vision;Ce que j'apprécie;1
la convivialité;Collectif;Ce que j'apprécie;1
La coopération;Collectif;Ce que j'apprécie;1
La couverture en soi.  ;Travail;Ce que j'apprécie;1
La création;Travail;Ce que j'apprécie;1
La création m'a énormément plu ;Travail;Ce que j'apprécie;1
La croissance qui permet d'embaucher les personnes en situations de handicap;Dynamique;Ce que j'apprécie;1
la découverte;Autres;Ce qui me met en difficulté;1
la désorganisation, l'entropie;Organisation;Ce qui me met en difficulté;1
La dette technique sur les app;Evolution;Ce qui me met en difficulté;1
LA difficulté à savoir si ce que je fais à un impact ou non;Vision;Ce qui me met en difficulté;1
La difficulté à trouver mon utilité par rapport aux objectifs de la boite;Vision;Ce qui me met en difficulté;1
la difficulté d'avoir des missions qui me correspondent vraiment;Travail;Ce qui me met en difficulté;1
La difficulté du projet de manière globale;Travail;Ce qui me met en difficulté;1
"La dimension ""familiale""";Collectif;Ce que j'apprécie;1
la dimension internationale;Travail;Ce que j'apprécie;1
La Direction;Vision;Ce qui me met en difficulté;1
La direction a une réelle intention de bien faire, même si des erreurs surviennent, elles sont considérées comme étant de bonne foi.;Ouverture;Ce que j'apprécie;2
La direction est perçue comme ayant une approche autoritaire.;Ouverture;Ce qui me met en difficulté;2
La direction générale s'efforce-t-elle de communiquer clairement avec les salariés ?;Ouverture;Ce que j'apprécie;2
La direction semble fermée à d'autres perspectives et réticente au changement, manquant de mécanismes de contrebalance dans l'entreprise.;Ouverture;Ce qui me met en difficulté;2
La discussion;Collectif;Ce que j'apprécie;1
La disponibilité de la direction;Accompagnement;Ce que j'apprécie;1
la disponibilité de mes collègues;Collectif;Ce que j'apprécie;1
La disponibilité et l'écoute de la direction pour les problématiques individuelles;Collectif;Ce que j'apprécie;1
La diversification de l'entreprise;Dynamique;Ce que j'apprécie;1
La diversification des missions;Travail;Ce que j'apprécie;1
La diversité de mon travail;Travail;Ce que j'apprécie;1
la diversité des projets;Travail;Ce que j'apprécie;1
La diversité des projets sur lesquels je suis amené à travailler.;Travail;Ce que j'apprécie;1
La diversité des projets/interventions;Travail;Ce que j'apprécie;1
La diversité des sujets;Travail;Ce que j'apprécie;1
la diversite des taches à effectuer;Travail;Ce que j'apprécie;1
La diversité humaine;Collectif;Ce que j'apprécie;1
La diversité, tout en étant routinier, pas de routine. Chaque client, chaque machine sont différents;Travail;Ce que j'apprécie;1
La documentation;Communication;Ce qui me met en difficulté;1
La douceur;Collectif;Ce que j'apprécie;1
La dynamique de l'entreprise;Dynamique;Ce que j'apprécie;2
La dynamique d'entreprise;Dynamique;Ce que j'apprécie;2
"La dynamique d'équipe; Le projet ultra-motivant.";Vision;Ce que j'apprécie;1
La facilité avec laquelle j'obtiens des réponses auprès de ma hiérarchie;Communication;Ce que j'apprécie;1
La fatigue physique était très présente. Notamment au niveau du dos.;Environnement;Ce qui me met en difficulté;1
la fierté de voir un de ses projets évoluer;Travail;Ce que j'apprécie;1
La finalité de ce qu'on fait, ne correspond pas à mes valeurs sociétales (crises environnementales et sociales);Vision;Ce qui me met en difficulté;1
La flexibilité des horaires de travail;Environnement;Ce que j'apprécie;1
La flexibilité, la liberté, l'autonomie ;Autonomie;Ce que j'apprécie;1
La flexibilité/agilité;Organisation;Ce que j'apprécie;1
La fluidité dans les relations;Collectif;Ce que j'apprécie;1
La fluidité de la collaboration;Collectif;Ce que j'apprécie;1
La franchise est de mise, similaire à la réalité du terrain, où la peur de s'exprimer franchement n'existe pas.;Ouverture;Ce que j'apprécie;2
La frustration de certains face au manque d'inscription des tâches dans un objectif plus gros;Vision;Ce qui me met en difficulté;1
La gestion de l'emploi du temps et des prio;Priorités;Ce qui me met en difficulté;1
La gestion de mon énergie;Organisation;Ce qui me met en difficulté;1
LA GESTION DE MON TEMPS DE TRAVAIL;Organisation;Ce que j'apprécie;1
La gestion de multiples projets simultanés.;Organisation;Ce qui me met en difficulté;1
la gestion des conflits;Collectif;Ce qui me met en difficulté;1
La gestion des équipes, de mon équipe.;Travail;Ce que j'apprécie;1
la gestion des priorités;Priorités;Ce qui me met en difficulté;1
La gestion du planning;Organisation;Ce qui me met en difficulté;1
la gestion humaine;Travail;Ce qui me met en difficulté;1
La grande diversité des compétences & moyens techniques disponibles;Moyens;Ce que j'apprécie;1
La journée de mardi imposée en Presentiel;Environnement;Ce qui me met en difficulté;1
La lenteur des actions à mettre en place par mes gars ;Organisation;Ce qui me met en difficulté;1
La lenteur des choses.;Organisation;Ce qui me met en difficulté;1
La liberté accordé au choix de mes sujets et à la manière de les aborder;Autonomie;Ce que j'apprécie;1
La liberté d'action;Autonomie;Ce que j'apprécie;1
La liberté de faire mon travail comme je l'entend (pas de pression);Autonomie;Ce que j'apprécie;1
La liberté de gérer mon travail comme je l'entends;Autonomie;Ce que j'apprécie;1
La liberté de s'exprimer est encouragée.;Ouverture;Ce que j'apprécie;2
La liberté de travail (organisation / tache à faire);Autonomie;Ce que j'apprécie;1
La liberté d'exercer mon métier tout en développant mes compétences de manière continue.;Autonomie;Ce que j'apprécie;1
La liberté d'une manière générale;Autonomie;Ce que j'apprécie;1
la liberté et la confiance qu'on m'accorde lors de mes tournées;Autonomie;Ce que j'apprécie;1
La liberté et l'autonomie sur mes projets;Autonomie;Ce que j'apprécie;1
La liberté que Come m'a donné. Je lui ai dit, je le reconnais. ON m'a fait confiance ;Autonomie;Ce que j'apprécie;1
La localisation;Environnement;Ce que j'apprécie;1
La lourdeur des outils informatiques (OSE, Zimbra, tableau Excel de reporting) et l'absence de synergie entre euxL'absence de bulle d'isolement pour la prospection téléphonique, les appels importants ou le dialogue avec son N+1Le service client sous-dimen;Organisation;Ce qui me met en difficulté;1
la machine à café;Environnement;Ce que j'apprécie;1
la manipulation des machines;Travail;Ce qui me met en difficulté;1
La manque de motivation;Travail;Ce qui me met en difficulté;1
La manque de prise de décision;Organisation;Ce qui me met en difficulté;1
La mauvaise foie des clients ;Relation client;Ce qui me met en difficulté;1
La mauvaise humeur du chef d'équipe Mohamed;Collectif;Ce qui me met en difficulté;1
la mauvaise organisation;Organisation;Ce qui me met en difficulté;1
La méconnaissance de la logistique;Evolution;Ce qui me met en difficulté;1
La mentalité de certaines personnes qui veulent plus en faisant moins;Collectif;Ce qui me met en difficulté;1
La mise en concurrence permanente de toutes les activités pour avoir des ressources humaines et économiques de MWM. Ce serait plus simple de se limiter à 5 directions stratégiques à la limite, mais pas 12.;Collectif;Ce qui me met en difficulté;1
La mise en place des processus se fait tranquillement pour ne pas brusquer les gens;Organisation;Ce qui me met en difficulté;1
La mission de cèdre;Vision;Ce que j'apprécie;1
la mission de l'entreprise;Vision;Ce que j'apprécie;1
la mission solidaire;Vision;Ce que j'apprécie;1
La montée en compétence  et l'accompagnement des collaborateurs.;Evolution;Ce que j'apprécie;1
La motivation du personnel laisse à désirer;Collectif;Ce qui me met en difficulté;1
La multiplication des process admin liées aux obligations contractuelles;Organisation;Ce qui me met en difficulté;1
La multiplicité des canaux de communication dans l'organisation;Communication;Ce qui me met en difficulté;1
La multiplicité des sujets à traiter dans le temps imparti;Pression;Ce qui me met en difficulté;1
la multiplicité des tâches à réaliser;Pression;Ce qui me met en difficulté;1
la multitude de projets;Pression;Ce qui me met en difficulté;1
La multitude d'outil / canaux de communication;Communication;Ce qui me met en difficulté;1
La nature de mon travail;Travail;Ce que j'apprécie;1
La noblesse du travail : que les gens puisse grandir ;Travail;Ce que j'apprécie;1
La non communication (produits nouveaux, prix...);Communication;Ce qui me met en difficulté;1
la non communication entre les différents services;Communication;Ce qui me met en difficulté;1
la non reconnaissance du travail;Reconnaissance;Ce qui me met en difficulté;1
la non reconnaissance du travail de mon équipe au seins de l'entreprise;Reconnaissance;Ce qui me met en difficulté;1
La non-clareté des objectifs;Priorités;Ce qui me met en difficulté;1
La non-connaissance de tout les employés et des responsabilités de ceux qui travaillent autour du même produit;Communication;Ce qui me met en difficulté;1
La passion;Travail;Ce que j'apprécie;1
la passion commune;Travail;Ce que j'apprécie;1
La patience, la confiance et la pédagogie  de ma hiérarchie.;Collectif;Ce que j'apprécie;1
La performance et notre image de marque;Dynamique;Ce que j'apprécie;1
la peur de l'échec;Autonomie;Ce qui me met en difficulté;1
la planification;Organisation;Ce qui me met en difficulté;1
La plupart des mecs sont des gros gamers. Je me sens parfois en décalage, lorsque ça parle de gaming, de twitch (plateforme de gaming). ;Collectif;Ce qui me met en difficulté;1
La pluridisciplinarité des équipes avec qui j'interagis;Travail;Ce que j'apprécie;1
La polyvalence;Travail;Ce que j'apprécie;1
La possibilité d'acquérir de nouvelles compétences;Evolution;Ce que j'apprécie;1
La possibilité d'aller voir ailleurs. ;Reconnaissance;Ce que j'apprécie;1
La possibilité d'apprendre tous les jours et d'évoluer;Evolution;Ce que j'apprécie;1
La possibilité d'avoir de l'impact;Vision;Ce que j'apprécie;1
La possibilité de construire quelque chose de grand;Travail;Ce que j'apprécie;1
La possibilité de faire de propositions et d’être écouté;Autonomie;Ce que j'apprécie;1
"la possibilité de me former en interne pour occuper un poste de "" Testeur QA "" par exemple, pourtant Atimic est en plein recrutement !";Evolution;Ce qui me met en difficulté;1
la possibilité de me garer le matin;Environnement;Ce qui me met en difficulté;1
La possibilité de pouvoir parler facilement avec l'équipe dirigeante;Collectif;Ce que j'apprécie;1
La possibilité de proposer;Autonomie;Ce que j'apprécie;1
La possibilité de s'arranger pour les congés;Environnement;Ce que j'apprécie;1
La possibilité de s'exprimer sur les projets,;Autonomie;Ce que j'apprécie;1
La possibilité de sortir de son champs d'action pour proposer de nouvelles choses;Autonomie;Ce que j'apprécie;1
La possibilité de télétravailler;Environnement;Ce que j'apprécie;1
La possibilité de voir des décisions prises unilatéralement redéfinir un bon nombre des choses du périmètre de travail;Collectif;Ce qui me met en difficulté;1
la possibilité d'évoluer vers un poste plus adéquat avec mon cursus d'études;Evolution;Ce qui me met en difficulté;1
"La possibilité d'organiser mon travail comme je le souhaite en fonction des dates butoirs; La possibilité de faire évoluer mon travail; La possibilité de proposer diverses idées en lien avec mon travail;";Autonomie;Ce que j'apprécie;1
la poussière (la machine rempli la poussière);Environnement;Ce qui me met en difficulté;1
La présence d'experts dans des domaines variés, qui permet de progresser sur beaucoup de points;Evolution;Ce que j'apprécie;1
la pression;Pression;Ce qui me met en difficulté;1
La pression temps pour réaliser ce qui est à faire;Pression;Ce qui me met en difficulté;1
La priorité moindre données à mes projets.;Travail;Ce qui me met en difficulté;1
La prise en compte de chacun;Reconnaissance;Ce que j'apprécie;1
